RIC,CompanyName,Date,Year,Quarter,YearQuarter,FiscalYear,FiscalQuarter,Sensing,Seizing,Transforming,GenAIIntensity,GenAIAdopt,ROA,TobinsQ,FirmSize,FirmAge,Leverage,CapEx,IndustryName,KnowledgeIndustry
A.N,Agilent Technologies Inc,2018-02-14,2018,1,2018Q1,2018.0,1.0,0.4470106165021419,0.2235053082510709,0.0465636058856397,0.0,0.0,9.32857,2.5603706545335863,22.854588000503234,19.0,0.2386660337051982,18.985994558684244,Health Care,1
A.N,Agilent Technologies Inc,2018-05-14,2018,2,2018Q2,2018.0,2.0,0.7010887495875948,0.1567139557901682,0.0247443088089739,0.0,0.0,10.68333,2.3481888763161645,22.854588000503234,19.0,0.2386660337051982,18.985994558684244,Health Care,1
A.N,Agilent Technologies Inc,2018-08-14,2018,3,2018Q3,2018.0,3.0,0.4848587955086764,0.2041510717931269,0.0170125893160939,0.0,0.0,10.85714,2.6686451276263945,22.854588000503234,19.0,0.2386660337051982,18.985994558684244,Health Care,1
A.N,Agilent Technologies Inc,2018-11-19,2018,4,2018Q4,2018.0,4.0,0.5324813631522897,0.1884164823461948,0.0327680838862947,0.0,0.0,11.41429,2.51589273186278,22.86814393391042,19.0,0.2106310736447722,18.99166029618782,Health Care,1
A.N,Agilent Technologies Inc,2019-02-20,2019,1,2019Q1,2019.0,1.0,0.5967095729264342,0.230159406700196,0.0340976898815105,0.0,0.0,13.01667,2.988165970052687,22.86814393391042,20.0,0.2106310736447722,18.99166029618782,Health Care,1
A.N,Agilent Technologies Inc,2019-05-14,2019,2,2019Q2,2019.0,2.0,0.6886331938633193,0.1830543933054393,0.0435843793584379,0.0,0.0,13.21429,2.7625832565086057,22.86814393391042,20.0,0.2106310736447722,18.99166029618782,Health Care,1
A.N,Agilent Technologies Inc,2019-08-14,2019,3,2019Q3,2019.0,3.0,0.3369989357928343,0.2837885775097552,0.0443419652358992,0.0,0.0,11.95,2.776549369528158,22.86814393391042,20.0,0.2106310736447722,18.99166029618782,Health Care,1
A.N,Agilent Technologies Inc,2019-11-25,2019,4,2019Q4,2019.0,4.0,0.5497861942577886,0.2094423597172528,0.0959944148704075,0.0,0.0,11.8,2.7995923755448584,22.969492196271077,20.0,0.2546550994498519,18.86536657162407,Health Care,1
A.N,Agilent Technologies Inc,2020-02-18,2020,1,2020Q1,2020.0,1.0,0.5583012996522058,0.1372872048325096,0.0091524803221673,0.0,0.0,11.06667,2.346300288994922,22.969492196271077,21.0,0.2546550994498519,18.86536657162407,Health Care,1
A.N,Agilent Technologies Inc,2020-05-21,2020,2,2020Q2,2020.0,2.0,0.7493123399411933,0.2086692592241297,0.0094849663283695,0.0,0.0,10.175,2.8868661113542107,22.969492196271077,21.0,0.2546550994498519,18.86536657162407,Health Care,1
A.N,Agilent Technologies Inc,2020-08-18,2020,3,2020Q3,2020.0,3.0,0.5740940078937926,0.2063150340868317,0.0,0.0,0.0,10.925,3.292506829972493,22.969492196271077,21.0,0.2546550994498519,18.86536657162407,Health Care,1
A.N,Agilent Technologies Inc,2020-11-23,2020,4,2020Q4,2020.0,4.0,0.362284297835828,0.123939365049099,0.0095337973114691,0.0,0.0,11.72,3.776732142488833,22.98783748774224,21.0,0.2450399916900384,18.594634059479166,Health Care,1
A.N,Agilent Technologies Inc,2021-02-16,2021,1,2021Q1,2021.0,1.0,0.4841312533620225,0.2420656266810112,0.0358615743231127,0.0,0.0,12.075,4.024020157588033,22.98783748774224,22.0,0.2450399916900384,18.594634059479166,Health Care,1
A.N,Agilent Technologies Inc,2021-05-25,2021,2,2021Q2,2021.0,2.0,0.4111684834576401,0.3633581946834959,0.057372346528973,0.0,0.0,12.575,4.658974040433157,22.98783748774224,22.0,0.2450399916900384,18.594634059479166,Health Care,1
A.N,Agilent Technologies Inc,2021-08-17,2021,3,2021Q3,2021.0,3.0,0.4277973191368,0.1806255347466489,0.0665462496435022,0.0,0.0,12.9,4.953557898622624,22.98783748774224,22.0,0.2450399916900384,18.594634059479166,Health Care,1
A.N,Agilent Technologies Inc,2021-11-22,2021,4,2021Q4,2021.0,4.0,0.4881079162229322,0.1508697195598154,0.0443734469293574,0.0,0.0,13.15,4.503916603554414,23.093976758988056,22.0,0.2549276039234003,19.05725757831492,Health Care,1
A.N,Agilent Technologies Inc,2022-02-22,2022,1,2022Q1,2022.0,1.0,0.5203019791879209,0.2142419914303203,0.03060599877576,0.0,0.0,13.4,3.709855504755722,23.093976758988056,23.0,0.2549276039234003,19.05725757831492,Health Care,1
A.N,Agilent Technologies Inc,2022-05-24,2022,2,2022Q2,2022.0,2.0,0.4896388913176532,0.1049226195680685,0.0087435516306723,0.0,0.0,13.7,3.31411077170668,23.093976758988056,23.0,0.2549276039234003,19.05725757831492,Health Care,1
A.N,Agilent Technologies Inc,2022-08-16,2022,3,2022Q3,2022.0,3.0,0.4803535402055913,0.1921414160822365,0.0,0.0,0.0,14.757,3.3613947952825782,23.093976758988056,23.0,0.2549276039234003,19.05725757831492,Health Care,1
A.N,Agilent Technologies Inc,2022-11-21,2022,4,2022Q4,2022.0,4.0,0.3984408834993504,0.1472498917280208,0.0259852750108271,0.0,0.0,15.8226,4.206910443030764,23.077684078580475,23.0,0.2629130269654386,19.488833828572194,Health Care,1
A.N,Agilent Technologies Inc,2023-02-28,2023,1,2023Q1,2023.0,1.0,0.3955477876920246,0.2943611443289486,0.0183975715205592,0.0,0.0,15.7674,3.884105045957083,23.077684078580475,24.0,0.2629130269654386,19.488833828572194,Health Care,1
A.N,Agilent Technologies Inc,2023-05-23,2023,2,2023Q2,2023.0,2.0,0.4440891731059597,0.1509903188560263,0.0355271338484767,0.0,0.0,15.42517,3.3724783625617167,23.077684078580475,24.0,0.2629130269654386,19.488833828572194,Health Care,1
A.N,Agilent Technologies Inc,2023-08-15,2023,3,2023Q3,2023.0,3.0,0.5132025494578263,0.2483238142537869,0.0331098419005049,0.0,0.0,14.7,3.1064478605070263,23.077684078580475,24.0,0.2629130269654386,19.488833828572194,Health Care,1
A.N,Agilent Technologies Inc,2023-11-20,2023,4,2023Q4,2023.0,4.0,0.408466394355737,0.1670998886000742,0.0649832900111399,0.0,0.0,13.94,3.7848518350887295,23.09938016322857,24.0,0.2541113072563412,19.512604047825384,Health Care,1
A.N,Agilent Technologies Inc,2024-02-27,2024,1,2024Q1,2024.0,1.0,0.6035161374967201,0.1924254351438817,0.0087466106883582,0.0,0.0,13.74,3.961950606228746,23.09938016322857,25.0,0.2541113072563412,19.512604047825384,Health Care,1
A.N,Agilent Technologies Inc,2024-05-29,2024,2,2024Q2,2024.0,2.0,0.4877151007637802,0.1380325756878623,0.0460108585626207,0.0,0.0,13.42,3.513979544491313,23.09938016322857,25.0,0.2541113072563412,19.512604047825384,Health Care,1
A.N,Agilent Technologies Inc,2024-08-21,2024,3,2024Q3,2024.0,3.0,0.1907822070489004,0.1606587006727583,0.0803293503363791,0.0,0.0,13.74,3.963803083720153,23.09938016322857,25.0,0.2541113072563412,19.512604047825384,Health Care,1
